K Inj Por b CHD Ext DSP REN_1_1  REN_1_2 REN_2_1 REN_2_2 REN_3_1 REN_3_2 REN_4_1 REN_4_2
0.001731 2.39561 0.129972 469.111 1010.51 4.25868 26.9484 0.330276 0.544087 0.693946 0.799885 0.87238 0.920444 0.951397 0.970827
0.001554 0.711908 0.49842 357.343 1126.79 1.4345 38.8138 5.04372e-05 0.00011209 0.000171742 0.000227051 0.000279225 0.000327939 0.000372976 0.000414128
0.001814 1.71605 0.274764 241.418 1076.89 4.66291 25.994 0.00242841 0.00986044 0.0223805 0.0392734 0.0596898 0.0826374 0.107271 0.132975
0.002031 2.25242 0.194231 252.688 1047.11 3.98029 21.8265 0.011368 0.0345974 0.0652055 0.10001 0.136883 0.174195 0.211228 0.247561
0.002114 3.66678 0.441176 424.342 1026.46 4.04657 16.6313 0.176465 0.308433 0.413894 0.501852 0.576571 0.640363 0.694738 0.741107
0.001485 2.36392 0.49392 472.603 1123.63 6.76433 30.0186 0.00235572 0.00744041 0.0149193 0.02426 0.0350451 0.0469713 0.0596463 0.0728344
0.001417 2.81721 0.282084 285.262 1125.95 6.54441 23.2727 0.000455544 0.00222342 0.00569152 0.0109567 0.0178378 0.0261512 0.0356386 0.0460967
0.002211 2.96805 0.296973 490.351 1074.08 4.80961 27.4235 0.000117844 0.000401161 0.000836057 0.0013981 0.00207019 0.0028231 0.00363785 0.00450009
0.001283 1.65162 0.28323 435.796 1043.56 2.94377 36.4069 0.0841792 0.165622 0.24313 0.315577 0.382287 0.443018 0.498187 0.548118
0.002042 1.11511 0.115066 216.728 1139 2.54534 21.4988 1.68799e-22 6.25394e-22 1.17553e-21 1.69349e-21 2.12139e-21 2.46034e-21 2.71377e-21 2.90352e-21
0.002011 1.96767 0.201662 334.51 1114.02 4.9719 36.8843 5.31156e-10 3.13811e-09 9.19895e-09 1.93179e-08 3.32507e-08 5.05117e-08 7.03904e-08 9.20925e-08
0.000842 2.70377 0.166202 388.976 1134.7 6.20507 43.6783 0.000498494 0.00252974 0.00659649 0.0128208 0.0209924 0.0308635 0.0420997 0.0544473
0.000842 0.646282 0.286242 368.664 1107.75 1.29089 6.44892 0.00132182 0.00335848 0.00584754 0.00857059 0.0114064 0.0143126 0.0172525 0.0201944
0.002542 2.52968 0.346268 175.931 1072.52 6.50691 42.7334 0.0101411 0.0362694 0.0742073 0.119229 0.167797 0.217816 0.267512 0.316027
0.000947 0.729505 0.149344 352.502 1059.41 1.95779 30.1081 0.00529802 0.0164197 0.0322784 0.0515558 0.0732412 0.0966288 0.121087 0.14591
0.00115 1.42543 0.465396 94.8442 1082.28 2.28436 39.923 0.190612 0.331764 0.448632 0.547702 0.631612 0.70189 0.760129 0.80804
0.001978 3.80108 0.394028 174.148 1050.88 4.19223 25.7729 0.145967 0.255014 0.346363 0.426172 0.496932 0.559965 0.616149 0.666097
0.000691 1.369 0.460766 92.0378 1114.05 3.90503 37.0683 0.375593 0.607818 0.764776 0.865301 0.925811 0.960408 0.979557 0.989927
0.002079 0.612585 0.338778 482.353 1097.12 0.947998 40.5822 9.31529e-08 1.63073e-07 2.14193e-07 2.46945e-07 2.68774e-07 2.84708e-07 2.96756e-07 3.05913e-07
0.00222 2.24696 0.323119 332.857 1022.96 5.3063 18.2957 0.2727 0.462787 0.608464 0.719134 0.801399 0.861129 0.903728 0.933749
0.00232 0.812508 0.297559 59.2689 1014.21 1.34097 9.57634 0.357452 0.599056 0.757017 0.85792 0.919693 0.955936 0.976437 0.98774
0.002133 1.22937 0.15579 172.015 1042.06 3.32366 22.3875 0.00872827 0.0335047 0.0710195 0.116351 0.165975 0.217287 0.268479 0.318557
0.001362 1.7471 0.196239 284.99 1048.42 4.05338 26.3458 0.0711897 0.161025 0.252543 0.339872 0.420791 0.494578 0.561245 0.620531
0.001311 2.3878 0.347952 155.364 1061.73 5.89253 48.0699 0.284309 0.482747 0.636682 0.752846 0.836998 0.895415 0.934483 0.959882
0.002561 0.554188 0.191765 183.46 1135.35 0.826589 42.9877 1.24399e-19 1.84829e-19 2.13164e-19 2.25927e-19 2.3149e-19 2.33946e-19 2.35052e-19 2.35555e-19
0.001205 3.74527 0.243315 390.566 1077.58 5.82892 31.6689 0.0328511 0.0784219 0.128327 0.178874 0.228392 0.27608 0.321668 0.364891
0.00109 1.12369 0.410858 172.934 1122.88 3.29149 20.5159 0.0245624 0.0673639 0.119886 0.177164 0.235757 0.293246 0.348684 0.401424
0.001882 1.83441 0.361648 464.692 1105.11 4.63377 14.7669 2.23816e-05 7.75555e-05 0.000163692 0.000278913 0.000417238 0.000574766 0.000747022 0.000928023
0.00205 3.42596 0.343633 307.456 1121.37 7.75034 43.0306 3.1146e-05 0.000171313 0.00048263 0.000999099 0.00174003 0.00269778 0.00385895 0.00520591
0.000586 2.32844 0.189569 366.868 1049.97 5.09889 44.2887 0.341778 0.556945 0.708997 0.814448 0.885002 0.930467 0.958884 0.976232
0.001595 1.88245 0.471061 112.249 1009.62 3.92044 15.8055 0.491705 0.804383 0.935871 0.980796 0.994675 0.998761 0.99994 1.00028
0.000929 2.23418 0.155681 216.449 1039.37 3.33611 22.1563 0.242845 0.407395 0.53671 0.642422 0.728469 0.797195 0.851021 0.892238
0.000623 1.64506 0.16725 345.323 1101.41 4.59758 13.949 0.0431704 0.113775 0.193971 0.275538 0.354628 0.428658 0.496521 0.558346
0.00186 2.08326 0.482323 301.527 1071.88 2.61912 32.9005 0.0146391 0.0326128 0.0522147 0.072437 0.0927877 0.113038 0.132999 0.152462
0.001823 1.53361 0.457575 438.295 1048.25 3.88589 25.4956 0.0617909 0.131345 0.202224 0.27059 0.33507 0.394986 0.450182 0.500716
0.001764 2.98145 0.232314 418.781 1124.73 6.68772 25.7944 7.21477e-08 4.10849e-07 1.19392e-06 2.53284e-06 4.46551e-06 6.96502e-06 9.9419e-06 1.33387e-05
0.002579 0.612051 0.167446 217.725 1065.44 1.64795 16.0171 1.22387e-09 4.76507e-09 1.06802e-08 1.83713e-08 2.70439e-08 3.62793e-08 4.57691e-08 5.50572e-08
0.0007 0.902382 0.350456 449.987 1121.81 2.46502 19.8262 0.0121842 0.0304475 0.0521442 0.0760425 0.101167 0.126651 0.152034 0.176945
0.002063 2.68192 0.364303 93.5517 1127.24 2.97509 37.725 0.00082042 0.00311855 0.00688629 0.011889 0.0178853 0.0246537 0.0319408 0.0395582
0.001086 3.18883 0.381761 270.104 1142.24 6.83856 47.7507 0.0214209 0.0593718 0.105783 0.156036 0.207534 0.258374 0.307462 0.354554
0.001888 3.01865 0.396619 307.377 1100.92 4.52692 16.3323 0.0012638 0.00390761 0.00772831 0.0124617 0.0178746 0.0237852 0.0300672 0.0365481
0.001827 3.6843 0.290611 265.6 1103.67 6.95791 47.0899 0.000908118 0.00403488 0.00969502 0.0177377 0.0278423 0.0395403 0.0524524 0.066223
0.000511 1.8018 0.458943 299.96 1075.37 3.40313 14.1686 0.317986 0.527796 0.672551 0.773386 0.843942 0.892694 0.926284 0.949478
0.000581 2.54435 0.335846 173.083 1107.95 4.6355 14.352 0.28539 0.474002 0.617137 0.727115 0.809847 0.870189 0.912873 0.942524
0.002433 3.64957 0.219715 347.559 1021.35 6.13468 15.05 0.212811 0.365678 0.49094 0.595788 0.682827 0.754119 0.8116 0.857077
0.002185 1.567 0.290513 126.917 1029.75 3.43792 45.2941 0.263662 0.448424 0.594446 0.708931 0.795733 0.859705 0.905437 0.937281
0.001846 1.23935 0.120474 191.889 1086.46 1.82563 25.0128 6.0209e-11 3.14904e-10 8.34327e-10 1.60861e-09 2.57486e-09 3.66656e-09 4.82893e-09 6.01044e-09
0.001141 2.50117 0.49104 464.935 1068.77 5.10164 10.7801 0.13421 0.250056 0.353019 0.443822 0.523153 0.591782 0.650762 0.701391
